geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
AT,2009-01-31,GJ1000-9999,0.0552,0.0399,0.041,0.0399,0.0011000000000000038,0.014199999999999997,0.0552
AT,2009-01-31,GJ10000-99999,0.0465,0.031,0.0337,0.031,0.002700000000000001,0.012799999999999999,0.0465
AT,2009-01-31,GJ100000-999999,0.0375,0.0247,0.0262,0.0247,0.0015000000000000013,0.011299999999999998,0.0375
AT,2009-01-31,GJ1000000-3999999,0.0361,0.0253,0.0268,0.0253,0.0015000000000000013,0.0093,0.0361
AT,2009-01-31,GJ_LT1000,0.0622,0.046,0.0464,0.046,0.0003999999999999976,0.0158,0.0622
AT,2009-07-31,GJ1000-9999,0.053,0.0378,0.039,0.0378,0.0011999999999999997,0.013999999999999999,0.053
AT,2009-07-31,GJ10000-99999,0.0453,0.0299,0.0326,0.0299,0.0026999999999999975,0.012700000000000003,0.0453
AT,2009-07-31,GJ100000-999999,0.037,0.0243,0.0257,0.0243,0.001400000000000002,0.011299999999999998,0.037
AT,2009-07-31,GJ1000000-3999999,0.0366,0.0248,0.0261,0.0248,0.0013000000000000025,0.010499999999999999,0.0366
AT,2009-07-31,GJ_LT1000,0.0611,0.0449,0.0452,0.0449,0.0002999999999999947,0.015900000000000004,0.0611
AT,2010-01-31,GJ1000-9999,0.0531,0.0382,0.0392,0.0382,0.0010000000000000009,0.013900000000000003,0.0531
AT,2010-01-31,GJ10000-99999,0.0485,0.0324,0.0351,0.0324,0.002700000000000001,0.013400000000000002,0.0485
AT,2010-01-31,GJ100000-999999,0.0358,0.0235,0.0247,0.0235,0.0011999999999999997,0.011099999999999999,0.0358
AT,2010-01-31,GJ1000000-3999999,0.0353,0.0238,0.0256,0.0238,0.0017999999999999995,0.009699999999999997,0.0353
AT,2010-01-31,GJ_LT1000,0.0604,0.0445,0.0448,0.0445,0.00030000000000000165,0.015600000000000003,0.0604
AT,2010-07-31,GJ1000-9999,0.0545,0.0392,0.0404,0.0392,0.0011999999999999997,0.014100000000000001,0.0545
AT,2010-07-31,GJ10000-99999,0.0483,0.0323,0.0352,0.0323,0.0029,0.0131,0.0483
AT,2010-07-31,GJ100000-999999,0.0392,0.0262,0.0276,0.0262,0.0013999999999999985,0.0116,0.0392
AT,2010-07-31,GJ1000000-3999999,0.0378,0.0261,0.0271,0.0261,0.0009999999999999974,0.010700000000000001,0.0378
AT,2010-07-31,GJ_LT1000,0.0618,0.0456,0.046,0.0456,0.0003999999999999976,0.0158,0.0618
AT,2011-01-31,GJ1000-9999,0.0524,0.038,0.0386,0.038,0.0006000000000000033,0.0138,0.0524
AT,2011-01-31,GJ10000-99999,0.0478,0.0323,0.0347,0.0323,0.0023999999999999994,0.0131,0.0478
AT,2011-01-31,GJ100000-999999,0.0412,0.028,0.0293,0.028,0.001299999999999999,0.0119,0.0412
AT,2011-01-31,GJ1000000-3999999,0.0407,0.0285,0.0296,0.0285,0.0011000000000000003,0.011099999999999999,0.0407
AT,2011-01-31,GJ_LT1000,0.0636,0.0471,0.0474,0.0471,0.0002999999999999947,0.016200000000000006,0.0636
AT,2011-07-31,GJ1000-9999,0.0582,0.0426,0.0441,0.0426,0.0015000000000000013,0.014100000000000001,0.0582
AT,2011-07-31,GJ10000-99999,0.0501,0.0341,0.037,0.0341,0.0029,0.0131,0.0501
AT,2011-07-31,GJ100000-999999,0.0429,0.0294,0.0307,0.0294,0.0013000000000000025,0.012199999999999999,0.0429
AT,2011-07-31,GJ1000000-3999999,0.0431,0.0299,0.0309,0.0299,0.0010000000000000009,0.012199999999999999,0.0431
AT,2011-07-31,GJ_LT1000,0.0664,0.0496,0.05,0.0496,0.0004000000000000045,0.016399999999999998,0.0664
AT,2012-01-31,GJ1000-9999,0.0584,0.0424,0.0487,0.0424,0.0063,0.0097,0.0584
AT,2012-01-31,GJ10000-99999,0.0521,0.0352,0.0434,0.0352,0.008199999999999999,0.0087,0.0521
AT,2012-01-31,GJ100000-999999,0.044,0.03,0.0367,0.03,0.0067000000000000046,0.007299999999999994,0.044
AT,2012-01-31,GJ1000000-3999999,0.0466,0.0319,0.0388,0.0319,0.006900000000000003,0.007800000000000001,0.0466
AT,2012-01-31,GJ_LT1000,0.0667,0.0497,0.0556,0.0497,0.0058999999999999955,0.011099999999999999,0.0667
AT,2012-07-31,GJ1000-9999,0.0591,0.0425,0.0492,0.0425,0.006699999999999998,0.009899999999999999,0.0591
AT,2012-07-31,GJ10000-99999,0.0521,0.0351,0.0434,0.0351,0.008300000000000002,0.0087,0.0521
AT,2012-07-31,GJ100000-999999,0.0456,0.0311,0.038,0.0311,0.0069,0.007600000000000003,0.0456
AT,2012-07-31,GJ1000000-3999999,0.0457,0.0311,0.0381,0.0311,0.007000000000000003,0.007599999999999996,0.0457
AT,2012-07-31,GJ_LT1000,0.0686,0.0509,0.0572,0.0509,0.0063,0.011399999999999993,0.0686
AT,2013-01-31,GJ1000-9999,0.0595,0.0417,0.0496,0.0417,0.007899999999999997,0.009899999999999999,0.0595
AT,2013-01-31,GJ10000-99999,0.0524,0.0349,0.0437,0.0349,0.008800000000000002,0.0087,0.0524
AT,2013-01-31,GJ100000-999999,0.0474,0.0313,0.0395,0.0313,0.008199999999999999,0.007899999999999997,0.0474
AT,2013-01-31,GJ1000000-3999999,0.0445,0.029,0.0371,0.029,0.0081,0.007399999999999997,0.0445
AT,2013-01-31,GJ_LT1000,0.0697,0.0505,0.0581,0.0505,0.007599999999999996,0.0116,0.0697
AT,2013-07-31,GJ1000-9999,0.0599,0.0405,0.0499,0.0405,0.009399999999999999,0.010000000000000002,0.0599
AT,2013-07-31,GJ10000-99999,0.0514,0.0345,0.0428,0.0345,0.008299999999999995,0.008600000000000003,0.0514
AT,2013-07-31,GJ100000-999999,0.0436,0.0282,0.0364,0.0282,0.008200000000000002,0.007199999999999998,0.0436
AT,2013-07-31,GJ1000000-3999999,0.0378,0.0252,0.0315,0.0252,0.0063,0.0063,0.0378
AT,2013-07-31,GJ_LT1000,0.0711,0.0497,0.0593,0.0497,0.009599999999999997,0.011799999999999998,0.0711
AT,2014-01-31,GJ1000-9999,0.0582,0.0407,0.0485,0.0407,0.007800000000000001,0.0097,0.0582
AT,2014-01-31,GJ10000-99999,0.0512,0.0339,0.0427,0.0339,0.008800000000000002,0.0085,0.0512
AT,2014-01-31,GJ100000-999999,0.0442,0.0288,0.0368,0.0288,0.008,0.007400000000000004,0.0442
AT,2014-01-31,GJ1000000-3999999,0.0407,0.0261,0.0339,0.0261,0.007799999999999998,0.0068000000000000005,0.0407
AT,2014-01-31,GJ_LT1000,0.0702,0.051,0.0585,0.051,0.007500000000000007,0.011699999999999995,0.0702
AT,2014-07-31,GJ1000-9999,0.0563,0.0402,0.0469,0.0402,0.006699999999999998,0.009400000000000006,0.0563
AT,2014-07-31,GJ10000-99999,0.0481,0.0334,0.0401,0.0334,0.006699999999999998,0.008,0.0481
AT,2014-07-31,GJ100000-999999,0.0407,0.026,0.0339,0.026,0.0079,0.0068000000000000005,0.0407
AT,2014-07-31,GJ1000000-3999999,0.0405,0.0275,0.0338,0.0275,0.006299999999999997,0.0067000000000000046,0.0405
AT,2014-07-31,GJ_LT1000,0.0679,0.0491,0.0566,0.0491,0.0075,0.011300000000000004,0.0679
AT,2015-01-31,GJ1000-9999,0.0553,0.0376,0.0461,0.0376,0.0085,0.0092,0.0553
AT,2015-01-31,GJ10000-99999,0.0475,0.0306,0.0396,0.0306,0.009000000000000005,0.007899999999999997,0.0475
AT,2015-01-31,GJ100000-999999,0.0412,0.0261,0.0343,0.0261,0.008199999999999995,0.006900000000000003,0.0412
AT,2015-01-31,GJ1000000-3999999,0.0422,0.0251,0.0351,0.0251,0.009999999999999998,0.007100000000000002,0.0422
AT,2015-01-31,GJ_LT1000,0.067,0.0482,0.0558,0.0482,0.007600000000000003,0.011200000000000002,0.067
AT,2015-07-31,GJ1000-9999,0.054,0.0375,0.0445,0.0375,0.006999999999999999,0.009500000000000001,0.054
AT,2015-07-31,GJ10000-99999,0.048,0.0295,0.0378,0.0295,0.008300000000000002,0.0102,0.048
AT,2015-07-31,GJ100000-999999,0.0409,0.0252,0.0324,0.0252,0.007199999999999998,0.0085,0.0409
AT,2015-07-31,GJ1000000-3999999,0.0439,0.022,0.0325,0.022,0.010500000000000002,0.0114,0.0439
AT,2015-07-31,GJ_LT1000,0.0653,0.0465,0.0536,0.0465,0.007100000000000002,0.011699999999999995,0.0653
AT,2016-01-31,GJ1000-9999,0.0521,0.0349,0.0434,0.0349,0.0085,0.0087,0.0521
AT,2016-01-31,GJ10000-99999,0.0429,0.0268,0.0358,0.0268,0.008999999999999998,0.007100000000000002,0.0429
AT,2016-01-31,GJ100000-999999,0.0357,0.0212,0.0297,0.0212,0.0085,0.006000000000000002,0.0357
AT,2016-01-31,GJ1000000-3999999,0.0325,0.0196,0.0275,0.0196,0.0079,0.005000000000000001,0.0325
AT,2016-01-31,GJ_LT1000,0.0643,0.0457,0.0535,0.0457,0.007800000000000001,0.010799999999999997,0.0643
AT,2016-07-31,GJ1000-9999,0.0511,0.0347,0.0418,0.0347,0.007099999999999995,0.009300000000000003,0.0511
AT,2016-07-31,GJ10000-99999,0.043,0.0274,0.0341,0.0274,0.006699999999999998,0.008899999999999998,0.043
AT,2016-07-31,GJ100000-999999,0.0364,0.0217,0.0284,0.0217,0.006700000000000001,0.008,0.0364
AT,2016-07-31,GJ1000000-3999999,0.0342,0.0203,0.0261,0.0203,0.005800000000000003,0.0081,0.0342
AT,2016-07-31,GJ_LT1000,0.0631,0.045,0.0521,0.045,0.007100000000000002,0.011000000000000003,0.0631
AT,2017-01-31,GJ1000-9999,0.0472,0.0328,0.0393,0.0328,0.006499999999999999,0.007899999999999997,0.0472
AT,2017-01-31,GJ10000-99999,0.0403,0.0267,0.0336,0.0267,0.006899999999999996,0.0067000000000000046,0.0403
AT,2017-01-31,GJ100000-999999,0.0332,0.0215,0.0276,0.0215,0.006100000000000001,0.005600000000000001,0.0332
AT,2017-01-31,GJ1000000-3999999,0.0307,0.0197,0.0256,0.0197,0.0059000000000000025,0.0051,0.0307
AT,2017-01-31,GJ_LT1000,0.0597,0.0428,0.0497,0.0428,0.006900000000000003,0.010000000000000002,0.0597
AT,2017-07-31,GJ1000-9999,0.0491,0.0345,0.0409,0.0345,0.006399999999999996,0.008199999999999999,0.0491
AT,2017-07-31,GJ10000-99999,0.0398,0.027,0.0332,0.027,0.006200000000000001,0.006600000000000002,0.0398
AT,2017-07-31,GJ100000-999999,0.0336,0.0221,0.028,0.0221,0.005899999999999999,0.005599999999999997,0.0336
AT,2017-07-31,GJ1000000-3999999,0.0308,0.0204,0.0256,0.0204,0.0052,0.0052,0.0308
AT,2017-07-31,GJ_LT1000,0.0618,0.0448,0.0515,0.0448,0.006699999999999998,0.010300000000000004,0.0618
AT,2018-01-31,GJ1000-9999,0.0474,0.033,0.0395,0.033,0.006499999999999999,0.007899999999999997,0.0474
