geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
AT,2008-01-31,MWH20-499,0.1476,0.1074,0.123,0.1074,0.015600000000000003,0.02460000000000001,0.1476
AT,2008-01-31,MWH2000-19999,0.1111,0.0768,0.0926,0.0768,0.01580000000000001,0.018500000000000003,0.1111
AT,2008-01-31,MWH20000-69999,0.1011,0.0691,0.0843,0.0691,0.015200000000000005,0.016799999999999995,0.1011
AT,2008-01-31,MWH500-1999,0.1276,0.0897,0.1064,0.0897,0.016699999999999993,0.021199999999999997,0.1276
AT,2008-01-31,MWH70000-149999,0.0916,0.0612,0.0763,0.0612,0.01510000000000001,0.015299999999999994,0.0916
AT,2008-01-31,MWH_LT20,0.1483,0.1078,0.1236,0.1078,0.015799999999999995,0.024699999999999986,0.1483
AT,2008-07-31,MWH20-499,0.144,0.1044,0.12,0.1044,0.015599999999999989,0.023999999999999994,0.144
AT,2008-07-31,MWH2000-19999,0.1158,0.0813,0.0965,0.0813,0.015200000000000005,0.019299999999999998,0.1158
AT,2008-07-31,MWH20000-69999,0.1135,0.0794,0.0946,0.0794,0.015200000000000005,0.0189,0.1135
AT,2008-07-31,MWH500-1999,0.1286,0.0905,0.1072,0.0905,0.016700000000000007,0.02139999999999999,0.1286
AT,2008-07-31,MWH70000-149999,0.1063,0.0735,0.0886,0.0735,0.015100000000000002,0.017700000000000007,0.1063
AT,2008-07-31,MWH_GE150000,0.1056,0.073,0.088,0.073,0.015,0.017600000000000005,0.1056
AT,2008-07-31,MWH_LT20,0.1605,0.1157,0.1337,0.1157,0.018000000000000016,0.02679999999999999,0.1605
AT,2009-01-31,MWH20-499,0.1601,0.1136,0.1334,0.1136,0.019799999999999984,0.0267,0.1601
AT,2009-01-31,MWH2000-19999,0.1304,0.0909,0.1086,0.0909,0.017700000000000007,0.021799999999999986,0.1304
AT,2009-01-31,MWH20000-69999,0.12,0.0833,0.1,0.0833,0.016700000000000007,0.01999999999999999,0.12
AT,2009-01-31,MWH500-1999,0.1421,0.0991,0.1184,0.0991,0.01930000000000001,0.0237,0.1421
AT,2009-01-31,MWH70000-149999,0.1103,0.0748,0.0919,0.0748,0.01709999999999999,0.0184,0.1103
AT,2009-01-31,MWH_LT20,0.1896,0.134,0.158,0.134,0.023999999999999994,0.03159999999999999,0.1896
AT,2009-07-31,MWH20-499,0.1588,0.1124,0.1323,0.1124,0.0199,0.026499999999999996,0.1588
AT,2009-07-31,MWH2000-19999,0.1297,0.0904,0.1081,0.0904,0.017700000000000007,0.021600000000000008,0.1297
AT,2009-07-31,MWH20000-69999,0.1202,0.0826,0.1002,0.0826,0.01759999999999999,0.020000000000000004,0.1202
AT,2009-07-31,MWH500-1999,0.1394,0.097,0.1162,0.097,0.019199999999999995,0.0232,0.1394
AT,2009-07-31,MWH70000-149999,0.1103,0.0756,0.0919,0.0756,0.016299999999999995,0.0184,0.1103
AT,2009-07-31,MWH_LT20,0.1919,0.1358,0.1599,0.1358,0.024099999999999983,0.032,0.1919
AT,2010-01-31,MWH20-499,0.1545,0.1079,0.1288,0.1079,0.020900000000000002,0.0257,0.1545
AT,2010-01-31,MWH2000-19999,0.1238,0.0843,0.1032,0.0843,0.0189,0.020599999999999993,0.1238
AT,2010-01-31,MWH20000-69999,0.1134,0.0763,0.0945,0.0763,0.018199999999999994,0.0189,0.1134
AT,2010-01-31,MWH500-1999,0.1352,0.0922,0.1127,0.0922,0.02049999999999999,0.022499999999999992,0.1352
AT,2010-01-31,MWH70000-149999,0.1073,0.072,0.0894,0.072,0.0174,0.017900000000000013,0.1073
AT,2010-01-31,MWH_LT20,0.1833,0.1282,0.1527,0.1282,0.024499999999999994,0.03059999999999999,0.1833
AT,2010-07-31,MWH20-499,0.1547,0.1082,0.1289,0.1082,0.020699999999999982,0.025800000000000017,0.1547
AT,2010-07-31,MWH2000-19999,0.1238,0.0846,0.1032,0.0846,0.018600000000000005,0.020599999999999993,0.1238
AT,2010-07-31,MWH20000-69999,0.1145,0.0766,0.0955,0.0766,0.0189,0.019000000000000003,0.1145
AT,2010-07-31,MWH500-1999,0.1353,0.0922,0.1128,0.0922,0.020599999999999993,0.022500000000000006,0.1353
AT,2010-07-31,MWH70000-149999,0.1065,0.0714,0.0888,0.0714,0.0174,0.017699999999999994,0.1065
AT,2010-07-31,MWH_LT20,0.1869,0.1314,0.1557,0.1314,0.024300000000000016,0.031200000000000006,0.1869
AT,2011-01-31,MWH20-499,0.1547,0.1077,0.1289,0.1077,0.021199999999999983,0.025800000000000017,0.1547
AT,2011-01-31,MWH2000-19999,0.1215,0.0823,0.1012,0.0823,0.0189,0.0203,0.1215
AT,2011-01-31,MWH20000-69999,0.1123,0.075,0.0936,0.075,0.018600000000000005,0.018699999999999994,0.1123
AT,2011-01-31,MWH500-1999,0.1351,0.0917,0.1126,0.0917,0.020900000000000002,0.022499999999999992,0.1351
AT,2011-01-31,MWH70000-149999,0.1031,0.0685,0.0859,0.0685,0.0174,0.017199999999999993,0.1031
AT,2011-01-31,MWH_LT20,0.1822,0.1273,0.1518,0.1273,0.024499999999999994,0.03040000000000001,0.1822
AT,2011-07-31,MWH20-499,0.1555,0.108,0.1296,0.108,0.021599999999999994,0.025900000000000006,0.1555
AT,2011-07-31,MWH2000-19999,0.1217,0.0824,0.1014,0.0824,0.019000000000000003,0.0203,0.1217
AT,2011-07-31,MWH20000-69999,0.1111,0.074,0.0926,0.074,0.018600000000000005,0.018500000000000003,0.1111
AT,2011-07-31,MWH500-1999,0.1353,0.0916,0.1128,0.0916,0.021199999999999997,0.022500000000000006,0.1353
AT,2011-07-31,MWH70000-149999,0.1031,0.0704,0.0859,0.0704,0.0155,0.017199999999999993,0.1031
AT,2011-07-31,MWH_LT20,0.1885,0.1318,0.1571,0.1318,0.02529999999999999,0.03140000000000001,0.1885
AT,2012-01-31,MWH20-499,0.1533,0.1075,0.1277,0.1075,0.02020000000000001,0.025599999999999984,0.1533
AT,2012-01-31,MWH2000-19999,0.118,0.0806,0.0983,0.0806,0.017699999999999994,0.019699999999999995,0.118
AT,2012-01-31,MWH20000-69999,0.1056,0.0713,0.088,0.0713,0.016699999999999993,0.017600000000000005,0.1056
AT,2012-01-31,MWH500-1999,0.1322,0.0906,0.1102,0.0906,0.019600000000000006,0.022000000000000006,0.1322
AT,2012-01-31,MWH70000-149999,0.0992,0.0668,0.0827,0.0668,0.015899999999999997,0.0165,0.0992
AT,2012-01-31,MWH_LT20,0.1784,0.1255,0.1487,0.1255,0.0232,0.029700000000000004,0.1784
AT,2012-07-31,MWH20-499,0.1568,0.1074,0.1307,0.1074,0.023300000000000015,0.026099999999999984,0.1568
AT,2012-07-31,MWH2000-19999,0.1182,0.0793,0.0985,0.0793,0.01920000000000001,0.019699999999999995,0.1182
AT,2012-07-31,MWH20000-69999,0.1059,0.0708,0.0882,0.0708,0.0174,0.017699999999999994,0.1059
AT,2012-07-31,MWH500-1999,0.1339,0.0893,0.1116,0.0893,0.0223,0.022299999999999986,0.1339
AT,2012-07-31,MWH70000-149999,0.0985,0.0646,0.0821,0.0646,0.0175,0.016399999999999998,0.0985
AT,2012-07-31,MWH_LT20,0.1809,0.1263,0.1508,0.1263,0.024499999999999994,0.030100000000000016,0.1809
AT,2013-01-31,MWH20-499,0.1587,0.1062,0.1322,0.1062,0.02600000000000001,0.026499999999999996,0.1587
AT,2013-01-31,MWH2000-19999,0.1181,0.0773,0.0984,0.0773,0.021100000000000008,0.019699999999999995,0.1181
AT,2013-01-31,MWH20000-69999,0.1027,0.0666,0.0856,0.0666,0.01899999999999999,0.017100000000000004,0.1027
