Date,Price
24/11/2025,95.95
21/11/2025,95.5
20/11/2025,96.5
19/11/2025,96.25
18/11/2025,96.25
17/11/2025,96.6
14/11/2025,96.35
13/11/2025,95.4
12/11/2025,95.6
11/11/2025,95.9
10/11/2025,96.25
07/11/2025,96.9
06/11/2025,97.05
05/11/2025,97.2
04/11/2025,97.35
03/11/2025,96.1
31/10/2025,92.92
30/10/2025,93
29/10/2025,92.55
28/10/2025,92.5
27/10/2025,92.4
24/10/2025,92.4
23/10/2025,92.6
22/10/2025,92.05
21/10/2025,92.4
20/10/2025,92.65
17/10/2025,93
16/10/2025,93
15/10/2025,91.4
14/10/2025,89.25
13/10/2025,89.4
10/10/2025,89.65
09/10/2025,90.45
08/10/2025,90.5
07/10/2025,91.25
06/10/2025,91.5
03/10/2025,92
02/10/2025,92.2
01/10/2025,92.9
30/09/2025,93.75
29/09/2025,93.9
26/09/2025,92.95
25/09/2025,92.75
24/09/2025,93
23/09/2025,93
22/09/2025,93
19/09/2025,93.75
18/09/2025,94.15
17/09/2025,93.55
16/09/2025,93.35
15/09/2025,93
12/09/2025,93
11/09/2025,93.15
10/09/2025,93
09/09/2025,94.2
08/09/2025,94.6
05/09/2025,94.85
04/09/2025,95.75
03/09/2025,96.35
02/09/2025,96.7
29/08/2025,99.4
28/08/2025,99.55
27/08/2025,99.85
26/08/2025,100.4
25/08/2025,99.5
22/08/2025,99.9
21/08/2025,100.5
20/08/2025,100.6
19/08/2025,100.15
18/08/2025,99.5
15/08/2025,99.15
14/08/2025,99.65
13/08/2025,100.25
12/08/2025,100.3
11/08/2025,101.3
08/08/2025,101
07/08/2025,101.55
06/08/2025,102.2
05/08/2025,103
04/08/2025,103.15
01/08/2025,103.55
31/07/2025,104.05
30/07/2025,104.45
29/07/2025,104.85
28/07/2025,103.4
25/07/2025,104.41
24/07/2025,104.5
23/07/2025,104.65
22/07/2025,104.5
21/07/2025,104.15
18/07/2025,104.65
17/07/2025,104.65
16/07/2025,105
15/07/2025,104.9
14/07/2025,106.3
11/07/2025,108.85
10/07/2025,108.9
09/07/2025,108
08/07/2025,107
07/07/2025,106.2
03/07/2025,108.4
02/07/2025,108.85
01/07/2025,107.45
30/06/2025,107.5
27/06/2025,103.63
26/06/2025,103.65
25/06/2025,103.45
24/06/2025,103.35
23/06/2025,104.4
20/06/2025,103.9
18/06/2025,103.85
17/06/2025,104.1
16/06/2025,103.5
13/06/2025,103.25
12/06/2025,102.75
11/06/2025,102.2
10/06/2025,102.1
09/06/2025,103.35
06/06/2025,101.8
05/06/2025,100.6
04/06/2025,99
03/06/2025,97.15
02/06/2025,96.8
30/05/2025,95.61
29/05/2025,95.65
28/05/2025,95.6
27/05/2025,96.15
23/05/2025,96.15
22/05/2025,96.05
21/05/2025,95.7
20/05/2025,96.15
19/05/2025,95.25
16/05/2025,94.75
15/05/2025,95
14/05/2025,94.45
13/05/2025,95.95
12/05/2025,96.5
09/05/2025,96.05
08/05/2025,96.75
07/05/2025,97.25
06/05/2025,96.9
05/05/2025,94.6
02/05/2025,94.6
01/05/2025,94.15
30/04/2025,93.65
29/04/2025,93.1
28/04/2025,92.3
25/04/2025,102.4
24/04/2025,102
23/04/2025,103
22/04/2025,102.15
21/04/2025,103
17/04/2025,103
16/04/2025,103.35
15/04/2025,104.25
14/04/2025,103.8
11/04/2025,102.75
10/04/2025,102.5
09/04/2025,101.65
08/04/2025,103
07/04/2025,101.9
04/04/2025,99.9
03/04/2025,100.75
02/04/2025,103.3
01/04/2025,105.75
31/03/2025,103.9
28/03/2025,97.44
27/03/2025,97.85
26/03/2025,98
25/03/2025,97.4
24/03/2025,97.65
21/03/2025,97.9
20/03/2025,97.75
19/03/2025,98.3
18/03/2025,96.9
17/03/2025,97.25
14/03/2025,97.85
13/03/2025,97.9
12/03/2025,97.9
11/03/2025,99.1
10/03/2025,100
07/03/2025,97.5
06/03/2025,96.7
05/03/2025,96.9
04/03/2025,96
03/03/2025,96.6
28/02/2025,99.43
27/02/2025,99.75
26/02/2025,99.5
25/02/2025,99.75
24/02/2025,100.4
21/02/2025,99.75
20/02/2025,99.9
19/02/2025,100.4
18/02/2025,101.65
14/02/2025,101.25
13/02/2025,101.75
12/02/2025,103.15
11/02/2025,102.9
10/02/2025,104.5
07/02/2025,105
06/02/2025,106.35
05/02/2025,105.7
04/02/2025,105.75
03/02/2025,109.25
31/01/2025,110.38
30/01/2025,110.15
29/01/2025,110.15
28/01/2025,110.25
27/01/2025,109.4
24/01/2025,109.4
23/01/2025,109.5
22/01/2025,109.75
21/01/2025,111.25
17/01/2025,109.25
16/01/2025,107.9
15/01/2025,107.4
14/01/2025,106.25
13/01/2025,108.45
10/01/2025,105.35
09/01/2025,106
08/01/2025,108
07/01/2025,110.55
06/01/2025,109.7
03/01/2025,113.2
02/01/2025,114.5
31/12/2024,114.5
30/12/2024,112.65
27/12/2024,112.29
26/12/2024,112
24/12/2024,112
23/12/2024,112.25
20/12/2024,111.7
19/12/2024,111.5
18/12/2024,111.35
17/12/2024,111.9
16/12/2024,111.25
13/12/2024,112.65
12/12/2024,112.75
11/12/2024,113.9
10/12/2024,114
09/12/2024,113.85
06/12/2024,113.95
05/12/2024,114.4
04/12/2024,115.2
03/12/2024,116.4
02/12/2024,117.9
29/11/2024,121.95
27/11/2024,121.65
26/11/2024,121.65
25/11/2024,122
