Date,Price
07/25/2025,32.2
07/24/2025,32.358
07/23/2025,32.69
07/22/2025,33.111
07/21/2025,33.159
07/18/2025,33.595
07/17/2025,34.407
07/16/2025,34.809
07/15/2025,34.445
07/14/2025,35.454
07/11/2025,35.561
07/10/2025,35.17
07/09/2025,34.304
07/08/2025,34.219
07/07/2025,33.621
07/04/2025,33.43
07/03/2025,33.621
07/02/2025,33.591
07/01/2025,33.693
06/30/2025,32.898
06/27/2025,33.087
06/26/2025,34.024
06/25/2025,35.401
06/24/2025,35.615
06/23/2025,40.522
06/20/2025,40.929
06/19/2025,41.485
06/18/2025,38.693
06/17/2025,39.309
06/16/2025,37.906
06/13/2025,37.894
06/12/2025,36.177
06/11/2025,35.913
06/10/2025,34.638
06/09/2025,35.605
06/06/2025,36.251
06/05/2025,36.393
06/04/2025,35.65
06/03/2025,35.848
06/02/2025,35.015
05/30/2025,34.228
05/29/2025,35.158
05/28/2025,36.687
05/27/2025,37.006
05/23/2025,36.45
05/22/2025,36.356
05/21/2025,36.621
05/20/2025,36.979
05/19/2025,35.225
05/16/2025,35.156
05/15/2025,35.294
05/14/2025,35.048
05/13/2025,35.744
05/12/2025,35.39
05/09/2025,34.618
05/08/2025,35.341
05/07/2025,34.531
05/06/2025,34.743
05/05/2025,32.93
05/02/2025,33.078
05/01/2025,32.149
04/30/2025,32.317
04/29/2025,31.856
04/28/2025,32.398
04/25/2025,32.432
04/24/2025,33.574
04/23/2025,34.16
04/22/2025,34.244
04/21/2025,35.657
04/17/2025,35.657
04/16/2025,35.312
04/15/2025,34.407
04/14/2025,34.499
04/11/2025,33.463
04/10/2025,33.293
04/09/2025,33.666
04/08/2025,36.231
04/07/2025,37
04/04/2025,36.401
04/03/2025,39.203
04/02/2025,41.263
04/01/2025,42.45
03/31/2025,40.667
03/28/2025,40.587
03/27/2025,41.202
03/26/2025,40.87
03/25/2025,41.555
03/24/2025,42.748
03/21/2025,42.605
03/20/2025,42.855
03/19/2025,43.355
03/18/2025,40.755
03/17/2025,41.248
03/14/2025,42.29
03/13/2025,42.076
03/12/2025,42.254
03/11/2025,42.71
03/10/2025,41.232
03/07/2025,39.971
03/06/2025,38.24
03/05/2025,41.508
03/04/2025,43.464
03/03/2025,45.213
02/28/2025,44.32
02/27/2025,44.93
02/26/2025,41.336
02/25/2025,44.291
02/24/2025,47.144
02/21/2025,47.195
02/20/2025,47.494
02/19/2025,48.264
02/18/2025,49.215
02/14/2025,50.685
02/13/2025,51.383
02/12/2025,55.661
02/11/2025,57.766
02/10/2025,58.039
02/07/2025,55.723
02/06/2025,54.502
02/05/2025,53.438
02/04/2025,52.048
02/03/2025,53.794
01/31/2025,53.237
01/30/2025,51.726
01/29/2025,51.156
01/28/2025,48.224
01/27/2025,47.862
01/24/2025,49.702
01/23/2025,49.123
01/22/2025,48.716
01/21/2025,50.027
01/17/2025,46.887
01/16/2025,46.241
01/15/2025,47.006
01/14/2025,46.947
01/13/2025,48.261
01/10/2025,45.008
01/09/2025,44.987
01/08/2025,45.559
01/07/2025,47.474
01/06/2025,47.326
01/03/2025,49.622
01/02/2025,50.273
12/31/2024,48.889
12/30/2024,47.633
12/27/2024,47.731
12/26/2024,45.731
12/24/2024,45.731
12/23/2024,45.545
12/20/2024,44.13
12/19/2024,43.078
12/18/2024,41.007
12/17/2024,42.065
12/16/2024,40.277
12/13/2024,41.215
12/12/2024,42.804
12/11/2024,44.694
12/10/2024,45.552
12/09/2024,44.855
12/06/2024,46.48
12/05/2024,46.551
12/04/2024,47.046
12/03/2024,48.557
12/02/2024,48.655
11/29/2024,47.811
11/27/2024,46.762
11/26/2024,47.216
11/25/2024,47.733
11/22/2024,47.018
11/21/2024,48.303
11/20/2024,46.796
11/19/2024,45.668
11/18/2024,46.9
11/15/2024,46.551
11/14/2024,46.224
11/13/2024,43.666
11/12/2024,44.255
11/11/2024,43.728
11/08/2024,42.409
11/07/2024,41.276
11/06/2024,40.388
11/05/2024,40.492
11/04/2024,40.301
11/01/2024,39.175
10/31/2024,40.588
10/30/2024,40.903
10/29/2024,42.869
10/28/2024,42.519
10/25/2024,43.513
10/24/2024,42.154
10/23/2024,41.38
10/22/2024,40.704
10/21/2024,40.024
10/18/2024,39.204
10/17/2024,39.65
10/16/2024,39.241
10/15/2024,39.973
10/14/2024,40.559
10/11/2024,39.879
10/10/2024,40.293
10/09/2024,38.341
10/08/2024,38.919
10/07/2024,40.244
10/04/2024,40.98
10/03/2024,39.912
10/02/2024,38.617
10/01/2024,39.273
09/30/2024,39.044
09/27/2024,38.114
09/26/2024,37.89
09/25/2024,37.319
09/24/2024,35.413
09/23/2024,36.211
09/20/2024,34.444
09/19/2024,33.083
09/18/2024,35.245
09/17/2024,35.547
09/16/2024,34.081
09/13/2024,35.648
09/12/2024,35.19
09/11/2024,36.14
09/10/2024,35.28
09/09/2024,37.335
09/06/2024,36.48
09/05/2024,36.195
09/04/2024,35.8
09/03/2024,37.195
08/30/2024,39.825
08/29/2024,38.601
08/28/2024,38.52
08/27/2024,38.69
08/26/2024,37.655
08/23/2024,36.865
08/22/2024,36.585
08/21/2024,37.01
08/20/2024,37.955
08/19/2024,39.845
08/16/2024,39.645
08/15/2024,39.6
08/14/2024,38.965
08/13/2024,39.48
08/12/2024,39.66
08/09/2024,40.395
08/08/2024,40.095
08/07/2024,38.45
08/06/2024,36.675
08/05/2024,35.5
08/02/2024,36.65
08/01/2024,36.97
07/31/2024,35.87
07/30/2024,34.361
07/29/2024,33.875
07/26/2024,32.475
07/25/2024,31.78
07/24/2024,32.62
07/23/2024,31.62
07/22/2024,31.84
07/19/2024,32.17
07/18/2024,32.675
07/17/2024,31.895
07/16/2024,32.795
07/15/2024,31.37
07/12/2024,31.72
07/11/2024,31.11
07/10/2024,30.785
07/09/2024,31.335
07/08/2024,32.285
07/05/2024,33.065
07/03/2024,32.69
07/02/2024,33.685
07/01/2024,33.485
06/28/2024,34.48
06/27/2024,34.565
06/26/2024,33.825
06/25/2024,34.855
06/24/2024,34.08
06/21/2024,33.936
06/20/2024,34.465
06/18/2024,34.7
06/17/2024,34.21
06/14/2024,35.36
06/13/2024,35.725
06/12/2024,35.295
06/11/2024,34.285
06/10/2024,34.26
06/07/2024,33.109
06/06/2024,33.685
06/05/2024,33.355
06/04/2024,33.795
06/03/2024,36.015
05/31/2024,34.223
05/30/2024,35.192
05/29/2024,33.88
05/28/2024,33.535
05/24/2024,34.115
05/23/2024,35.23
05/22/2024,34.39
05/21/2024,33.005
05/20/2024,31.77
05/17/2024,30.769
05/16/2024,30.25
05/15/2024,29.735
05/14/2024,29.67
05/13/2024,29.58
05/10/2024,30.03
05/09/2024,30.865
05/08/2024,30.61
05/07/2024,31.065
05/06/2024,31.8
05/03/2024,30.53
05/02/2024,30.915
05/01/2024,28.73
04/30/2024,29.12
04/29/2024,27.994
04/26/2024,28.885
04/25/2024,29.77
04/24/2024,29.02
04/23/2024,28.415
04/22/2024,29.31
04/19/2024,30.758
04/18/2024,32.31
04/17/2024,31.29
04/16/2024,33.14
04/15/2024,31.145
04/12/2024,30.732
04/11/2024,29.375
04/10/2024,27.1
04/09/2024,27.35
04/08/2024,27.91
04/05/2024,26.605
04/04/2024,26.205
04/03/2024,25.565
04/02/2024,26.205
04/01/2024,27.34
03/28/2024,27.34
03/27/2024,27.687
03/26/2024,27.13
03/25/2024,28.49
03/22/2024,27.776
03/21/2024,26.4
03/20/2024,27.74
03/19/2024,28.865
03/18/2024,28.82
03/15/2024,27.026
03/14/2024,26.05
03/13/2024,24.905
03/12/2024,24.775
03/11/2024,24.93
03/08/2024,26.39
03/07/2024,25.99
03/06/2024,26.57
03/05/2024,27.47
03/04/2024,26.885
03/01/2024,25.809
02/29/2024,24.865
02/28/2024,25.619
02/27/2024,24.39
02/26/2024,24.01
02/23/2024,22.934
02/22/2024,23.195
02/21/2024,23.975
02/20/2024,24.17
02/16/2024,24.82
02/15/2024,24.965
02/14/2024,24.855
02/13/2024,25.435
02/12/2024,25.73
02/09/2024,27.115
02/08/2024,27.81
02/07/2024,28.185
02/06/2024,28.605
02/05/2024,28.34
02/02/2024,29.305
02/01/2024,28.99
01/31/2024,30.235
01/30/2024,29.391
01/29/2024,28.175
01/26/2024,28.079
01/25/2024,27.785
01/24/2024,28.93
01/23/2024,27.225
01/22/2024,27.265
01/19/2024,28.429
01/18/2024,27.895
01/17/2024,27.71
01/16/2024,29.655
01/12/2024,31.99
01/11/2024,30.815
01/10/2024,30.94
01/09/2024,30.64
01/08/2024,31.58
01/05/2024,34.55
01/04/2024,33.41
01/03/2024,32.795
01/02/2024,30.57
12/29/2023,32.35
12/28/2023,33.105
12/27/2023,35.515
12/26/2023,34.175
12/22/2023,34.174
12/21/2023,34.205
12/20/2023,33.52
12/19/2023,32.57
12/18/2023,35.52
12/15/2023,33.19
12/14/2023,34.85
12/13/2023,35.81
12/12/2023,34.705
12/11/2023,36.12
12/08/2023,38.6
12/07/2023,39.97
12/06/2023,39.315
12/05/2023,38.135
12/04/2023,40.105
12/01/2023,43.496
11/30/2023,42.09
11/29/2023,40.36
11/28/2023,42.775
11/27/2023,43.985
11/24/2023,46.655
11/22/2023,44.615
11/21/2023,44.065
11/20/2023,45.82
11/17/2023,45.064
11/16/2023,45.85
11/15/2023,47.035
11/14/2023,47.61
11/13/2023,47.875
11/10/2023,46.63
11/09/2023,48.13
11/08/2023,45.775
11/07/2023,46.055
11/06/2023,44.83
11/03/2023,48.057
11/02/2023,48.565
11/01/2023,47.755
10/31/2023,48.005
10/30/2023,50.547
10/27/2023,50.53
10/26/2023,50.81
10/25/2023,49.925
10/24/2023,49.265
10/23/2023,51.275
10/20/2023,51.112
10/19/2023,50.17
10/18/2023,50.835
10/17/2023,48.895
10/16/2023,48.465
10/13/2023,53.982
10/12/2023,53
10/11/2023,46.07
10/10/2023,49.455
10/09/2023,43.955
10/06/2023,38.231
10/05/2023,36.205
10/04/2023,38.44
10/03/2023,36.985
10/02/2023,39.335
09/29/2023,41.859
09/28/2023,39.736
09/27/2023,39.295
09/26/2023,40.32
09/25/2023,44.44
09/22/2023,39.791
09/21/2023,39.105
09/20/2023,37.285
09/19/2023,36.78
09/18/2023,34.475
09/15/2023,36.485
09/14/2023,35.52
09/13/2023,36.815
09/12/2023,34.7
09/11/2023,35.85
09/08/2023,34.51
09/07/2023,32.755
09/06/2023,31.075
09/05/2023,34.45
09/01/2023,35.617
08/31/2023,35.03
08/30/2023,35.992
08/29/2023,35.195
08/28/2023,38.415
08/25/2023,34.775
08/24/2023,31.94
08/23/2023,36.785
08/22/2023,42.91
08/21/2023,40.78
08/18/2023,36.41
08/17/2023,36.825
08/16/2023,37.785
08/15/2023,38.815
08/14/2023,34.435
08/11/2023,35.3
08/10/2023,37.055
08/09/2023,39.825
08/08/2023,31.065
08/07/2023,30.485
08/04/2023,28.853
08/03/2023,30.475
08/02/2023,28.74
08/01/2023,27.125
07/31/2023,28.365
07/28/2023,25.841
07/27/2023,28.435
07/26/2023,29.275
07/25/2023,32.65
07/24/2023,30.555
07/21/2023,28.164
07/20/2023,28.02
07/19/2023,26.965
07/18/2023,27.07
07/17/2023,25.1
07/14/2023,25.957
07/13/2023,26.605
07/12/2023,26.64
07/11/2023,29.06
07/10/2023,30.225
07/07/2023,33.478
07/06/2023,32.35
07/05/2023,34.375
07/03/2023,33.93
06/30/2023,37.103
06/29/2023,35.18
06/28/2023,34.125
06/27/2023,34.505
06/26/2023,31.975
06/23/2023,32.507
06/22/2023,34.095
06/21/2023,36.745
06/20/2023,38.71
06/16/2023,35.01
06/15/2023,41.145
06/14/2023,38.31
06/13/2023,36.05
06/12/2023,31.035
06/09/2023,32.05
06/08/2023,26.945
06/07/2023,26.33
06/06/2023,24.86
06/05/2023,28.48
06/02/2023,23.69
06/01/2023,23.105
05/31/2023,26.85
05/30/2023,24.681
05/26/2023,24.52
05/25/2023,25.45
05/24/2023,27.785
05/23/2023,29.125
05/22/2023,29.71
05/19/2023,30.175
05/18/2023,29.785
05/17/2023,31.955
05/16/2023,31.82
05/15/2023,32.315
05/12/2023,32.765
05/11/2023,34.995
05/10/2023,34.995
05/09/2023,35.95
05/08/2023,36.875
05/05/2023,36.575
05/04/2023,35.655
05/03/2023,36.78
05/02/2023,37.53
05/01/2023,38.835
04/28/2023,38.54
04/27/2023,39.039
04/26/2023,38.55
04/25/2023,39.835
04/24/2023,39.925
04/21/2023,40.165
04/20/2023,40.565
04/19/2023,40.3
04/18/2023,42.72
04/17/2023,41.125
04/14/2023,41.15
04/13/2023,42.095
04/12/2023,42.88
04/11/2023,43.69
04/10/2023,43.125
04/06/2023,43.125
04/05/2023,44.575
04/04/2023,46.57
04/03/2023,51.365
03/31/2023,47.845
03/30/2023,43.609
03/29/2023,42.805
03/28/2023,42.75
03/27/2023,42.53
03/24/2023,41.095
03/23/2023,43.185
03/22/2023,39.975
03/21/2023,42.4
03/20/2023,39.325
03/17/2023,42.855
03/16/2023,44.34
03/15/2023,42.905
03/14/2023,44.185
03/13/2023,49.585
03/10/2023,52.855
03/09/2023,43.6
03/08/2023,42.34
03/07/2023,43.37
03/06/2023,42.15
03/03/2023,44.98
03/02/2023,46.815
03/01/2023,47.085
02/28/2023,46.665
02/27/2023,47.299
02/24/2023,51.015
02/23/2023,50.78
02/22/2023,50.57
02/21/2023,48.54
02/17/2023,49.045
02/16/2023,52.01
02/15/2023,54.715
02/14/2023,52.385
02/13/2023,51.705
02/10/2023,53.945
02/09/2023,52.735
02/08/2023,53.685
02/07/2023,55.405
02/06/2023,58.11
02/03/2023,57.89
02/02/2023,57.04
02/01/2023,59.525
01/31/2023,57.35
01/30/2023,55.156
01/27/2023,55.425
01/26/2023,54.815
01/25/2023,56.66
01/24/2023,58.27
01/23/2023,66
01/20/2023,66.9
01/19/2023,60.715
01/18/2023,61.71
01/17/2023,60.06
01/13/2023,64.81
01/12/2023,66.81
01/11/2023,65.345
01/10/2023,70.07
01/09/2023,74.3
01/06/2023,69.535
01/05/2023,72.42
01/04/2023,65.02
01/03/2023,72.315
12/30/2022,76.315
12/29/2022,83.83
12/28/2022,81.35
12/27/2022,80.045
12/23/2022,82.975
12/22/2022,91.94
12/21/2022,97.75
12/20/2022,105.69
12/19/2022,108.545
12/16/2022,115.45
12/15/2022,134.765
12/14/2022,131.51
12/13/2022,137.53
12/12/2022,136.59
12/09/2022,139.115
12/08/2022,138.895
12/07/2022,149.245
12/06/2022,138.49
12/05/2022,134.7
12/02/2022,135.56
12/01/2022,139.26
11/30/2022,146.395
11/29/2022,132.286
11/28/2022,123.28
11/25/2022,124.37
11/23/2022,129.62
11/22/2022,119.64
11/21/2022,116.13
11/18/2022,115.51
11/17/2022,112.555
11/16/2022,113.9
11/15/2022,124.105
11/14/2022,113.705
11/11/2022,97.855
11/10/2022,113.45
11/09/2022,113.145
11/08/2022,118.145
11/07/2022,109.685
11/04/2022,114.785
11/03/2022,125.445
11/02/2022,125.865
11/01/2022,116.195
10/31/2022,123.35
10/28/2022,112.244
10/27/2022,107.385
10/26/2022,104.32
10/25/2022,99.795
10/24/2022,99.17
10/21/2022,113.575
10/20/2022,127.145
10/19/2022,112.51
10/18/2022,113.22
10/17/2022,127.98
10/14/2022,141.995
10/13/2022,153.81
10/12/2022,160.19
10/11/2022,156.78
10/10/2022,154.12
10/07/2022,156.205
10/06/2022,175.71
10/05/2022,173.695
10/04/2022,161.95
10/03/2022,169.91
09/30/2022,188.8
09/29/2022,187.665
09/28/2022,207.185
09/27/2022,186.1
09/26/2022,173.835
09/23/2022,185.495
09/22/2022,187.47
09/21/2022,189.78
09/20/2022,194.26
09/19/2022,182.26
09/16/2022,187.795
09/15/2022,214.285
09/14/2022,217.88
09/13/2022,198.61
09/12/2022,190.59
09/09/2022,207.09
09/08/2022,220.54
09/07/2022,213.885
09/06/2022,239.84
09/02/2022,214.665
09/01/2022,243.005
08/31/2022,239.905
08/30/2022,252.937
08/29/2022,272.605
08/26/2022,339.195
08/25/2022,321.415
08/24/2022,292.15
08/23/2022,269.05
08/22/2022,276.75
08/19/2022,244.55
08/18/2022,241.005
08/17/2022,225.835
08/16/2022,225.915
08/15/2022,220.11
08/12/2022,206.11
08/11/2022,208.11
08/10/2022,205.365
08/09/2022,192.185
08/08/2022,193.055
08/05/2022,196.32
08/04/2022,199.25
08/03/2022,199.195
08/02/2022,205.175
08/01/2022,200.795
07/29/2022,190.915
07/28/2022,198.93
07/27/2022,205.225
07/26/2022,199.92
07/25/2022,176.615
07/22/2022,159.865
07/21/2022,155.6
07/20/2022,155.04
07/19/2022,154.455
07/18/2022,157.26
07/15/2022,159.565
07/14/2022,175.035
07/13/2022,180.505
07/12/2022,172.61
07/11/2022,164.52
07/08/2022,175.21
07/07/2022,183.185
07/06/2022,171
07/05/2022,165.075
07/01/2022,147.785
06/30/2022,144.515
06/29/2022,139.588
06/28/2022,129.175
06/27/2022,129.46
06/24/2022,128.505
06/23/2022,133.345
06/22/2022,127.17
06/21/2022,125.56
06/17/2022,117.74
06/16/2022,124.365
06/15/2022,120.33
06/14/2022,97.04
06/13/2022,83.4
06/10/2022,82.465
06/09/2022,84.88
06/08/2022,79.405
06/07/2022,79.61
06/06/2022,82.56
06/03/2022,83.1
06/02/2022,83.945
06/01/2022,85.55
05/31/2022,94.005
05/27/2022,86.875
05/26/2022,85.97
05/25/2022,88.08
05/24/2022,84.505
05/23/2022,83.29
05/20/2022,87.9
05/19/2022,91.025
05/18/2022,94.54
05/17/2022,94.175
05/16/2022,92.86
05/13/2022,96.88
05/12/2022,106.7
05/11/2022,94.01
05/10/2022,98.8
05/09/2022,93.785
05/06/2022,101.71
05/05/2022,106.51
05/04/2022,103.82
05/03/2022,99.425
05/02/2022,97.05
04/29/2022,99.45
04/28/2022,100.142
04/27/2022,107.425
04/26/2022,103.21
04/25/2022,92.835
04/22/2022,94.875
04/21/2022,100.06
04/20/2022,94.23
04/19/2022,93.77
04/18/2022,95.62
04/14/2022,95.62
04/13/2022,105.325
