,Unnamed: 0,Date,"Coal, Australian","Coal, South African **"
577,577,2008-02-01,132.0,115.0
578,578,2008-03-01,118.25,111.0
579,579,2008-04-01,123.0,108.75
580,580,2008-05-01,133.2,120.7
581,581,2008-06-01,159.75,142.38
582,582,2008-07-01,180.0,167.75
583,583,2008-08-01,158.4,156.9
584,584,2008-09-01,150.0,147.75
585,585,2008-10-01,108.0,109.7
586,586,2008-11-01,92.25,89.38
587,587,2008-12-01,78.65,77.25
588,588,2009-01-01,79.4,76.4
589,589,2009-02-01,75.38,69.06
590,590,2009-03-01,61.0,58.56
591,591,2009-04-01,63.56,62.88
592,592,2009-05-01,64.5,58.03
593,593,2009-06-01,71.38,60.2
594,594,2009-07-01,73.8,61.1
595,595,2009-08-01,72.5,64.25
596,596,2009-09-01,67.64,61.13
597,597,2009-10-01,71.07,64.35
598,598,2009-11-01,78.8,66.44
599,599,2009-12-01,83.1,73.8
600,600,2010-01-01,97.0,86.94
601,601,2010-02-01,94.19,83.36
602,602,2010-03-01,94.38,82.96
603,603,2010-04-01,100.15,88.7
604,604,2010-05-01,100.13,90.94
605,605,2010-06-01,98.19,92.81
606,606,2010-07-01,95.98,90.61
607,607,2010-08-01,89.78,87.9
608,608,2010-09-01,94.9,85.82
609,609,2010-10-01,97.45,90.99
610,610,2010-11-01,107.16,103.2
611,611,2010-12-01,118.29,115.24
612,612,2011-01-01,132.48,122.62
613,613,2011-02-01,128.36,117.74
614,614,2011-03-01,126.13,121.0
615,615,2011-04-01,122.5,124.03
616,616,2011-05-01,119.12,120.46
617,617,2011-06-01,120.09,119.01
618,618,2011-07-01,120.75,116.27
619,619,2011-08-01,120.13,118.27
620,620,2011-09-01,123.09,115.62
621,621,2011-10-01,119.39,110.88
622,622,2011-11-01,113.78,105.47
623,623,2011-12-01,111.56,104.19
624,624,2012-01-01,116.46,106.26
625,625,2012-02-01,117.02,105.3
626,626,2012-03-01,107.46,103.43
627,627,2012-04-01,103.59,101.33
628,628,2012-05-01,95.83,93.77
629,629,2012-06-01,87.19,85.31
630,630,2012-07-01,88.24,87.33
631,631,2012-08-01,91.0,89.11
632,632,2012-09-01,88.96,85.82
633,633,2012-10-01,81.85,82.8
634,634,2012-11-01,85.89,85.74
635,635,2012-12-01,92.88,88.84
636,636,2013-01-01,92.77,86.13
637,637,2013-02-01,94.94,85.13
638,638,2013-03-01,90.98,82.77
639,639,2013-04-01,87.76,82.02
640,640,2013-05-01,87.71,81.79
641,641,2013-06-01,82.75,77.29
642,642,2013-07-01,77.26,72.64
643,643,2013-08-01,76.96,72.91
644,644,2013-09-01,77.61,73.1
645,645,2013-10-01,79.41,80.65
646,646,2013-11-01,82.25,83.82
647,647,2013-12-01,84.34,84.62
648,648,2014-01-01,81.61,82.9
649,649,2014-02-01,76.29,77.6
650,650,2014-03-01,73.34,74.6
651,651,2014-04-01,72.82,75.06
652,652,2014-05-01,73.69,75.78
653,653,2014-06-01,71.48,74.09
654,654,2014-07-01,68.75,71.44
655,655,2014-08-01,68.94,71.19
656,656,2014-09-01,65.94,67.86
657,657,2014-10-01,63.71,65.74
658,658,2014-11-01,62.55,65.66
659,659,2014-12-01,62.44,66.14
660,660,2015-01-01,61.44,59.29
661,661,2015-02-01,69.05,63.48
662,662,2015-03-01,64.76,59.92
663,663,2015-04-01,56.24,58.95
664,664,2015-05-01,61.19,61.63
665,665,2015-06-01,58.96,60.71
666,666,2015-07-01,59.9,57.9
667,667,2015-08-01,59.14,55.02
668,668,2015-09-01,57.65,51.38
669,669,2015-10-01,54.26,50.11
670,670,2015-11-01,52.47,53.34
671,671,2015-12-01,52.21,48.77
672,672,2016-01-01,49.02,49.09
673,673,2016-02-01,50.27,50.33
674,674,2016-03-01,52.21,52.57
675,675,2016-04-01,50.69,52.35
676,676,2016-05-01,51.31,54.24
677,677,2016-06-01,52.85,58.59
678,678,2016-07-01,61.24,62.39
679,679,2016-08-01,67.39,66.34
680,680,2016-09-01,72.72,68.33
681,681,2016-10-01,94.2,83.79
682,682,2016-11-01,103.43,89.15
683,683,2016-12-01,88.15,80.19
684,684,2017-01-01,83.73,86.49
685,685,2017-02-01,79.98,83.6
686,686,2017-03-01,80.9,79.11
687,687,2017-04-01,83.65,78.89
688,688,2017-05-01,74.42,74.41
