,Unnamed: 0,Date,"Natural gas, US","Natural gas, Europe","Liquefied natural gas, Japan"
577,577,2008-02-01,8.55,10.84,10.46
578,578,2008-03-01,9.4,11.04,10.96
579,579,2008-04-01,10.13,12.19,11.42
580,580,2008-05-01,11.23,12.38,11.63
581,581,2008-06-01,12.68,12.63,12.07
582,582,2008-07-01,11.15,14.37,12.35
583,583,2008-08-01,8.25,14.64,13.25
584,584,2008-09-01,7.69,14.85,14.39
585,585,2008-10-01,6.73,15.93,15.01
586,586,2008-11-01,6.67,15.81,15.06
587,587,2008-12-01,5.79,15.5,13.78
588,588,2009-01-01,5.24,13.89,12.71
589,589,2009-02-01,4.52,11.04,10.52
590,590,2009-03-01,3.95,10.9,9.48
591,591,2009-04-01,3.5,8.51,8.12
592,592,2009-05-01,3.81,8.09,7.5
593,593,2009-06-01,3.8,7.95,7.18
594,594,2009-07-01,3.39,6.67,7.55
595,595,2009-08-01,3.15,6.92,7.76
596,596,2009-09-01,2.96,7.13,8.42
597,597,2009-10-01,4.02,7.6,9.1
598,598,2009-11-01,3.69,7.81,9.13
599,599,2009-12-01,5.37,8.01,9.76
600,600,2010-01-01,5.81,8.8,10.02
601,601,2010-02-01,5.34,8.8,10.52
602,602,2010-03-01,4.29,8.93,10.42
603,603,2010-04-01,4.01,7.52,10.98
604,604,2010-05-01,4.16,7.27,11.39
605,605,2010-06-01,4.79,7.74,10.48
606,606,2010-07-01,4.63,8.04,11.32
607,607,2010-08-01,4.31,8.45,11.3
608,608,2010-09-01,3.9,8.28,11.03
609,609,2010-10-01,3.43,8.29,11.13
610,610,2010-11-01,3.73,8.59,10.84
611,611,2010-12-01,4.24,8.74,10.75
612,612,2011-01-01,4.49,9.61,11.45
613,613,2011-02-01,4.07,9.36,12.02
614,614,2011-03-01,3.97,9.37,12.5
615,615,2011-04-01,4.24,10.36,12.99
616,616,2011-05-01,4.31,10.3,13.61
617,617,2011-06-01,4.55,10.26,14.52
618,618,2011-07-01,4.41,10.99,16.22
619,619,2011-08-01,4.05,10.81,16.55
620,620,2011-09-01,3.9,10.85,16.27
621,621,2011-10-01,3.57,11.42,16.48
622,622,2011-11-01,3.24,11.32,16.78
623,623,2011-12-01,3.16,11.53,16.48
624,624,2012-01-01,2.68,11.45,16.71
625,625,2012-02-01,2.52,11.12,16.03
626,626,2012-03-01,2.17,11.97,16.34
627,627,2012-04-01,1.95,11.42,16.85
628,628,2012-05-01,2.44,11.64,17.12
629,629,2012-06-01,2.46,11.49,17.2
630,630,2012-07-01,2.95,11.13,18.11
631,631,2012-08-01,2.84,11.18,17.74
632,632,2012-09-01,2.84,11.08,16.83
633,633,2012-10-01,3.32,11.58,15.3
634,634,2012-11-01,3.54,11.83,15.0
635,635,2012-12-01,3.34,11.79,15.41
636,636,2013-01-01,3.33,11.87,15.89
637,637,2013-02-01,3.33,11.77,16.47
638,638,2013-03-01,3.81,11.87,16.27
639,639,2013-04-01,4.17,12.88,16.2
640,640,2013-05-01,4.04,12.29,16.22
641,641,2013-06-01,3.83,11.92,16.61
642,642,2013-07-01,3.62,11.6,16.17
643,643,2013-08-01,3.43,11.64,15.6
644,644,2013-09-01,3.62,11.25,14.96
645,645,2013-10-01,3.67,11.37,15.3
646,646,2013-11-01,3.62,11.42,15.4
647,647,2013-12-01,4.24,11.55,16.38
648,648,2014-01-01,4.7,11.59,16.67
649,649,2014-02-01,5.97,11.3,16.76
650,650,2014-03-01,4.88,10.88,16.55
651,651,2014-04-01,4.63,10.73,16.79
652,652,2014-05-01,4.56,10.2,16.32
653,653,2014-06-01,4.57,9.77,16.13
654,654,2014-07-01,4.01,9.27,15.21
655,655,2014-08-01,3.88,9.14,15.74
656,656,2014-09-01,3.92,9.24,15.16
657,657,2014-10-01,3.77,9.77,15.89
658,658,2014-11-01,4.1,8.9,15.59
659,659,2014-12-01,3.43,9.83,15.62
660,660,2015-01-01,2.97,9.25,16.19
661,661,2015-02-01,2.85,8.27,14.2
662,662,2015-03-01,2.8,8.27,13.04
663,663,2015-04-01,2.58,6.77,10.94
664,664,2015-05-01,2.84,6.68,9.34
665,665,2015-06-01,2.77,6.67,9.19
666,666,2015-07-01,2.83,6.69,9.5
667,667,2015-08-01,2.76,6.35,9.82
668,668,2015-09-01,2.65,6.28,10.31
