,geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
0,AT,2008-01-01,GJ20-199,0.0586,0.0428,0.0488,0.0428,0.006000000000000005,0.009799999999999996,0.0586
1,AT,2008-01-01,GJ_GE200,0.0517,0.0371,0.0431,0.0371,0.005999999999999998,0.008600000000000003,0.0517
2,AT,2008-01-01,GJ_LT20,0.0729,0.0545,0.0608,0.0545,0.0063,0.012100000000000007,0.0729
3,AT,2008-07-01,GJ20-199,0.0616,0.0452,0.0513,0.0452,0.006100000000000001,0.010300000000000004,0.0616
4,AT,2008-07-01,GJ_GE200,0.0543,0.0392,0.0452,0.0392,0.005999999999999998,0.009100000000000004,0.0543
5,AT,2008-07-01,GJ_LT20,0.0752,0.0557,0.0627,0.0557,0.007000000000000006,0.012499999999999997,0.0752
6,AT,2009-01-01,GJ20-199,0.0649,0.0473,0.0541,0.0473,0.0068000000000000005,0.010799999999999997,0.0649
7,AT,2009-01-01,GJ_GE200,0.0576,0.0415,0.048,0.0415,0.006499999999999999,0.009599999999999997,0.0576
8,AT,2009-01-01,GJ_LT20,0.0785,0.0577,0.0655,0.0577,0.007800000000000001,0.012999999999999998,0.0785
9,AT,2009-07-01,GJ20-199,0.062,0.0449,0.0517,0.0449,0.0068000000000000005,0.010299999999999997,0.062
10,AT,2009-07-01,GJ_GE200,0.0549,0.0393,0.0457,0.0393,0.006399999999999996,0.0092,0.0549
11,AT,2009-07-01,GJ_LT20,0.0758,0.0554,0.0631,0.0554,0.0077000000000000055,0.012700000000000003,0.0758
12,AT,2010-01-01,GJ20-199,0.0622,0.0451,0.0519,0.0451,0.0068000000000000005,0.010299999999999997,0.0622
13,AT,2010-01-01,GJ_GE200,0.0548,0.0393,0.0456,0.0393,0.0063,0.0092,0.0548
14,AT,2010-01-01,GJ_LT20,0.0756,0.0554,0.063,0.0554,0.007600000000000003,0.0126,0.0756
15,AT,2010-07-01,GJ20-199,0.0602,0.0434,0.0501,0.0434,0.006699999999999998,0.010099999999999998,0.0602
16,AT,2010-07-01,GJ_GE200,0.0539,0.0387,0.045,0.0387,0.0063,0.008900000000000005,0.0539
17,AT,2010-07-01,GJ_LT20,0.0736,0.0542,0.0613,0.0542,0.007100000000000002,0.012299999999999998,0.0736
18,AT,2011-01-01,GJ20-199,0.0694,0.0512,0.0581,0.0512,0.006899999999999996,0.011300000000000004,0.0694
19,AT,2011-01-01,GJ_GE200,0.0622,0.0455,0.0521,0.0455,0.006600000000000002,0.010099999999999998,0.0622
20,AT,2011-01-01,GJ_LT20,0.0833,0.0621,0.0698,0.0621,0.0076999999999999985,0.013499999999999998,0.0833
21,AT,2011-07-01,GJ20-199,0.0721,0.0534,0.0603,0.0534,0.006899999999999996,0.011799999999999998,0.0721
22,AT,2011-07-01,GJ_GE200,0.0638,0.0467,0.0533,0.0467,0.006600000000000002,0.010499999999999995,0.0638
23,AT,2011-07-01,GJ_LT20,0.0874,0.0647,0.073,0.0647,0.008300000000000002,0.01440000000000001,0.0874
24,AT,2012-01-01,GJ20-199,0.0758,0.0562,0.0632,0.0562,0.007000000000000006,0.0126,0.0758
25,AT,2012-01-01,GJ_GE200,0.0669,0.0491,0.0558,0.0491,0.0067000000000000046,0.011099999999999999,0.0669
26,AT,2012-01-01,GJ_LT20,0.0919,0.0681,0.0766,0.0681,0.008500000000000008,0.015299999999999994,0.0919
27,AT,2012-07-01,GJ20-199,0.0763,0.0567,0.0636,0.0567,0.006900000000000003,0.012700000000000003,0.0763
28,AT,2012-07-01,GJ_GE200,0.0673,0.0495,0.0561,0.0495,0.006599999999999995,0.011200000000000002,0.0673
29,AT,2012-07-01,GJ_LT20,0.0919,0.0685,0.0766,0.0685,0.008099999999999996,0.015299999999999994,0.0919
30,AT,2013-01-01,GJ20-199,0.0767,0.057,0.064,0.057,0.006999999999999999,0.012700000000000003,0.0767
