,geo,add_formal_time,nrg_cons,I_TAX,X_TAX,X_VAT,energy,taxes,vat,total
0,AT,2008-01-01,KWH1000-2499,0.2005,0.141,0.1671,0.141,0.026100000000000012,0.03340000000000001,0.2005
1,AT,2008-01-01,KWH2500-4999,0.1779,0.1271,0.1483,0.1271,0.021199999999999997,0.029600000000000015,0.1779
2,AT,2008-01-01,KWH5000-14999,0.1638,0.118,0.1365,0.118,0.018500000000000016,0.02729999999999999,0.1638
3,AT,2008-01-01,KWH_GE15000,0.1514,0.1095,0.1262,0.1095,0.016700000000000007,0.0252,0.1514
4,AT,2008-01-01,KWH_LT1000,0.265,0.1812,0.2208,0.1812,0.039599999999999996,0.04420000000000002,0.265
5,AT,2008-07-01,KWH1000-2499,0.2033,0.1432,0.1695,0.1432,0.026300000000000018,0.0338,0.2033
6,AT,2008-07-01,KWH2500-4999,0.1772,0.1268,0.1476,0.1268,0.020800000000000013,0.029599999999999987,0.1772
7,AT,2008-07-01,KWH5000-14999,0.1657,0.1196,0.1381,0.1196,0.018500000000000003,0.027599999999999986,0.1657
8,AT,2008-07-01,KWH_GE15000,0.1534,0.1112,0.1279,0.1112,0.01670000000000002,0.025499999999999995,0.1534
9,AT,2008-07-01,KWH_LT1000,0.2649,0.1812,0.2208,0.1812,0.039599999999999996,0.04410000000000003,0.2649
10,AT,2009-01-01,KWH1000-2499,0.2089,0.1475,0.174,0.1475,0.026499999999999996,0.034900000000000014,0.2089
11,AT,2009-01-01,KWH2500-4999,0.1909,0.138,0.159,0.138,0.02099999999999999,0.031899999999999984,0.1909
12,AT,2009-01-01,KWH5000-14999,0.1739,0.1263,0.1449,0.1263,0.018600000000000005,0.028999999999999998,0.1739
13,AT,2009-01-01,KWH_GE15000,0.1572,0.1143,0.131,0.1143,0.016700000000000007,0.0262,0.1572
14,AT,2009-01-01,KWH_LT1000,0.2727,0.1874,0.2272,0.1874,0.0398,0.045499999999999985,0.2727
15,AT,2009-07-01,KWH1000-2499,0.2101,0.1486,0.1751,0.1486,0.026499999999999996,0.035,0.2101
16,AT,2009-07-01,KWH2500-4999,0.1909,0.138,0.1591,0.138,0.02109999999999998,0.031799999999999995,0.1909
17,AT,2009-07-01,KWH5000-14999,0.1753,0.1274,0.1461,0.1274,0.018699999999999994,0.029200000000000004,0.1753
18,AT,2009-07-01,KWH_GE15000,0.1599,0.1164,0.1332,0.1164,0.01680000000000001,0.026699999999999974,0.1599
19,AT,2009-07-01,KWH_LT1000,0.2726,0.1874,0.2272,0.1874,0.0398,0.045399999999999996,0.2726
20,AT,2010-01-01,KWH1000-2499,0.2172,0.1543,0.181,0.1543,0.0267,0.03620000000000001,0.2172
21,AT,2010-01-01,KWH2500-4999,0.1967,0.1427,0.1639,0.1427,0.021199999999999997,0.032800000000000024,0.1967
22,AT,2010-01-01,KWH5000-14999,0.1774,0.1291,0.1478,0.1291,0.018699999999999994,0.029600000000000015,0.1774
23,AT,2010-01-01,KWH_GE15000,0.157,0.116,0.1308,0.116,0.014799999999999994,0.0262,0.157
24,AT,2010-01-01,KWH_LT1000,0.2538,0.1746,0.2115,0.1746,0.03689999999999999,0.04230000000000003,0.2538
25,AT,2010-07-01,KWH1000-2499,0.2115,0.1496,0.1763,0.1496,0.0267,0.03519999999999998,0.2115
26,AT,2010-07-01,KWH2500-4999,0.193,0.1396,0.1608,0.1396,0.021199999999999997,0.032200000000000006,0.193
27,AT,2010-07-01,KWH5000-14999,0.1753,0.1275,0.1462,0.1275,0.018699999999999994,0.029100000000000015,0.1753
28,AT,2010-07-01,KWH_GE15000,0.1466,0.1075,0.1223,0.1075,0.014800000000000008,0.024300000000000002,0.1466
29,AT,2010-07-01,KWH_LT1000,0.257,0.1772,0.2141,0.1772,0.036900000000000016,0.042899999999999994,0.257
30,AT,2011-01-01,KWH1000-2499,0.221,0.1574,0.1842,0.1574,0.02679999999999999,0.0368,0.221
31,AT,2011-01-01,KWH2500-4999,0.1986,0.1442,0.1655,0.1442,0.021300000000000013,0.03309999999999999,0.1986
32,AT,2011-01-01,KWH5000-14999,0.1805,0.1315,0.1504,0.1315,0.0189,0.030099999999999988,0.1805
33,AT,2011-01-01,KWH_GE15000,0.1631,0.1191,0.1359,0.1191,0.016799999999999995,0.027200000000000002,0.1631
34,AT,2011-01-01,KWH_LT1000,0.2946,0.2055,0.2455,0.2055,0.04000000000000001,0.04909999999999998,0.2946
35,AT,2011-07-01,KWH1000-2499,0.2201,0.1585,0.1834,0.1585,0.024900000000000005,0.03669999999999998,0.2201
36,AT,2011-07-01,KWH2500-4999,0.1965,0.1444,0.1638,0.1444,0.0194,0.03270000000000001,0.1965
37,AT,2011-07-01,KWH5000-14999,0.1781,0.1313,0.1484,0.1313,0.017100000000000004,0.029700000000000004,0.1781
38,AT,2011-07-01,KWH_GE15000,0.1611,0.1194,0.1343,0.1194,0.014899999999999997,0.02679999999999999,0.1611
39,AT,2011-07-01,KWH_LT1000,0.2918,0.205,0.2431,0.205,0.03810000000000002,0.04869999999999999,0.2918
40,AT,2012-01-01,KWH1000-2499,0.2221,0.1582,0.185,0.1582,0.02679999999999999,0.037099999999999994,0.2221
41,AT,2012-01-01,KWH2500-4999,0.1975,0.1433,0.1646,0.1433,0.021299999999999986,0.03290000000000001,0.1975
42,AT,2012-01-01,KWH5000-14999,0.1785,0.13,0.1487,0.13,0.018699999999999994,0.029799999999999993,0.1785
43,AT,2012-01-01,KWH_GE15000,0.1595,0.1166,0.1329,0.1166,0.016299999999999995,0.026600000000000013,0.1595
44,AT,2012-01-01,KWH_LT1000,0.2978,0.2075,0.2482,0.2075,0.040700000000000014,0.049600000000000005,0.2978
45,AT,2012-07-01,KWH1000-2499,0.2254,0.1556,0.1879,0.1556,0.03230000000000002,0.03749999999999998,0.2254
46,AT,2012-07-01,KWH2500-4999,0.2024,0.1412,0.1686,0.1412,0.027400000000000008,0.0338,0.2024
47,AT,2012-07-01,KWH5000-14999,0.1833,0.1275,0.1527,0.1275,0.0252,0.03059999999999999,0.1833
48,AT,2012-07-01,KWH_GE15000,0.1639,0.1139,0.1366,0.1139,0.022699999999999998,0.02729999999999999,0.1639
49,AT,2012-07-01,KWH_LT1000,0.2988,0.205,0.249,0.205,0.04400000000000001,0.04980000000000001,0.2988
